"epoch","l64 - _step","l64 - _step__MIN","l64 - _step__MAX","l64 - val_len","l64 - val_len__MIN","l64 - val_len__MAX","l128 - _step","l128 - _step__MIN","l128 - _step__MAX","l128 - val_len","l128 - val_len__MIN","l128 - val_len__MAX","l8 - _step","l8 - _step__MIN","l8 - _step__MAX","l8 - val_len","l8 - val_len__MIN","l8 - val_len__MAX","l32 - _step","l32 - _step__MIN","l32 - _step__MAX","l32 - val_len","l32 - val_len__MIN","l32 - val_len__MAX","l16 - _step","l16 - _step__MIN","l16 - _step__MAX","l16 - val_len","l16 - val_len__MIN","l16 - val_len__MAX"
"10","95","95","95","25.35675048828125","25.35675048828125","25.35675048828125","95","95","95","124.85575103759766","124.85575103759766","124.85575103759766","95","95","95","5.785250186920166","5.785250186920166","5.785250186920166","95","95","95","32","32","32","95","95","95","15.998499870300293","15.998499870300293","15.998499870300293"
"11","104","104","104","28.371334075927734","28.371334075927734","28.371334075927734","104","104","104","124.64624786376953","124.64624786376953","124.64624786376953","104","104","104","5.498000144958496","5.498000144958496","5.498000144958496","104","104","104","32","32","32","104","104","104","15.997750282287598","15.997750282287598","15.997750282287598"
"12","112","112","112","24.922000885009766","24.922000885009766","24.922000885009766","112","112","112","125.24549865722656","125.24549865722656","125.24549865722656","112","112","112","4.44516658782959","4.44516658782959","4.44516658782959","112","112","112","32","32","32","112","112","112","15.994916915893555","15.994916915893555","15.994916915893555"
"13","121","121","121","19.642000198364258","19.642000198364258","19.642000198364258","121","121","121","122.7352523803711","122.7352523803711","122.7352523803711","121","121","121","7.054333209991455","7.054333209991455","7.054333209991455","121","121","121","32","32","32","121","121","121","15.986000061035156","15.986000061035156","15.986000061035156"
"14","129","129","129","14.20674991607666","14.20674991607666","14.20674991607666","129","129","129","119.79491424560547","119.79491424560547","119.79491424560547","129","129","129","7.954500198364258","7.954500198364258","7.954500198364258","129","129","129","32","32","32","129","129","129","15.997750282287598","15.997750282287598","15.997750282287598"
"15","138","138","138","19.174583435058594","19.174583435058594","19.174583435058594","138","138","138","101.30924987792969","101.30924987792969","101.30924987792969","138","138","138","7.887083530426025","7.887083530426025","7.887083530426025","138","138","138","32","32","32","138","138","138","15.976083755493164","15.976083755493164","15.976083755493164"
"16","146","146","146","13.694416999816895","13.694416999816895","13.694416999816895","146","146","146","94.03033447265625","94.03033447265625","94.03033447265625","146","146","146","7.635833263397217","7.635833263397217","7.635833263397217","146","146","146","32","32","32","146","146","146","16","16","16"
"17","155","155","155","18.730749130249023","18.730749130249023","18.730749130249023","155","155","155","92.40258026123047","92.40258026123047","92.40258026123047","155","155","155","6.89858341217041","6.89858341217041","6.89858341217041","155","155","155","32","32","32","155","155","155","16","16","16"
"18","163","163","163","17.43808364868164","17.43808364868164","17.43808364868164","163","163","163","89.77208709716797","89.77208709716797","89.77208709716797","163","163","163","7.3376665115356445","7.3376665115356445","7.3376665115356445","163","163","163","32","32","32","163","163","163","16","16","16"
"19","172","172","172","15.946000099182129","15.946000099182129","15.946000099182129","172","172","172","84.86824798583984","84.86824798583984","84.86824798583984","172","172","172","7.544250011444092","7.544250011444092","7.544250011444092","172","172","172","32","32","32","172","172","172","16","16","16"
"20","181","181","181","15.572166442871094","15.572166442871094","15.572166442871094","181","181","181","85.09967041015625","85.09967041015625","85.09967041015625","181","181","181","7.3727498054504395","7.3727498054504395","7.3727498054504395","181","181","181","32","32","32","181","181","181","16","16","16"
"21","190","190","190","16.019832611083984","16.019832611083984","16.019832611083984","190","190","190","83.20658111572266","83.20658111572266","83.20658111572266","190","190","190","7.408583164215088","7.408583164215088","7.408583164215088","190","190","190","32","32","32","190","190","190","16","16","16"
